KPD 2025.,,
Šifra,Naziv,
A,"PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA",
01,"Biljni i stočarski proizvodi, proizvodi lovstva i usluge povezane s njima",
01.1,Jednogodišnji usjevi,
01.11,"Žitarice, osim riže, mahunarke i uljano sjemenje",
01.11.1,Pšenica,
01.11.11,Tvrda pšenica,
01.11.12,"Pšenica, osim tvrde",
01.11.2,Kukuruz,
01.11.20,Kukuruz,
01.11.3,"Ječam, raž i zob",
01.11.31,Ječam,
01.11.32,Raž,
01.11.33,Zob,
01.11.4,"Sirak, proso i ostale žitarice",
01.11.41,Sirak,
01.11.42,Proso,,,,,
01.11.43,Tritikale (pšenoraž),,,,,
01.11.49,"Ostale žitarice, d. n.",,,,,
01.11.5,Slama i pljeva od žitarica,,,,,
01.11.50,Slama i pljeva od žitarica,,,,,
01.11.6,"Mahunasto povrće, svježe, neoljušteno",,,,,
01.11.61,"Grah, svježi, neoljušten",,,,,
01.11.62,"Grašak, svježi, neoljušten",,,,,
01.11.69,"Mahunasto povrće, svježe, neoljušteno, d. n.",,,,,
01.11.7,"Mahunasto povrće, suho",,,,,
01.11.71,"Grah, suhi",,,,,
01.11.72,"Bob, suhi",,,,,
01.11.73,"Slanutak, suhi",,,,,
01.11.74,"Leća, suha",,,,,
01.11.75,"Grašak, suhi",,,,,
01.11.76,Mletački grah (crnookica),,,,,
01.11.77,"Golublji grašak (kajan), suhi",,,,,
01.11.79,"Mahunasto povrće, suho, d. n.",,,,,
01.11.8,Soja i kikiriki,,,,,
01.11.81,Soja,,,,,
01.11.82,"Kikiriki, neoljušten",,,,,
01.11.9,Ostalo uljano sjemenje,,,,,
01.11.91,Laneno sjeme,,,,,
01.11.92,Sjeme gorušice,,,,,
01.11.93,Sjeme uljane repice,,,,,
01.11.94,Sjeme sezama,,,,,
01.11.95,Sjeme suncokreta,,,,,
01.11.96,Sjeme ricinusa,,,,,
01.11.99,"Ostalo uljano sjemenje, d. n.",,,,,
01.12,"Riža, neočišćena",,,,,
01.12.0,"Riža, neočišćena",,,,,
01.12.00,"Riža, neočišćena",,,,,
01.13,"Povrće i dinje, korjenasto i gomoljasto povrće",,,,,
01.13.1,"Povrće, lisnato i stabljičasto",,,,,
01.13.11,Šparoge,,,,,
01.13.12,Kupus,,,,,
01.13.13,Cvjetača i brokula,,,,,
01.13.14,Salata,,,,,
01.13.15,Radič,,,,,
01.13.16,Špinat,,,,,
01.13.17,Artičoke,,,,,
01.13.18,Ostalo lisnato i stabljičasto povrće,,,,,
01.13.2,Dinje,,,,,
01.13.21,Lubenice,,,,,
01.13.29,"Dinje, d. n.",,,,,
01.13.3,Ostalo plodovito povrće,,,,,
01.13.31,Čili i feferoni (vrsta Capsicum),,,,,
01.13.32,Krastavci i kornišoni,,,,,
01.13.33,Patlidžani,,,,,
01.13.34,Rajčice,,,,,
01.13.39,"Ostalo plodovito povrće, d. n.",,,,,
01.13.4,"Korjenasto, lukovičasto i gomoljasto povrće",,,,,
01.13.41,Mrkva i bijela repa,,,,,
01.13.42,Češnjak,,,,,
01.13.43,Luk,,,,,
01.13.44,Poriluk i ostale vrste luka,,,,,
01.13.49,"Korjenasto, lukovičasto i gomoljasto povrće, d. n.",,,,,
01.13.5,Jestivo korjenasto i gomoljasto povrće s visokom koncentracijom škroba ili inulina,,,,,
01.13.51,Krumpir,,,,,
01.13.52,Slatki krumpir,,,,,
01.13.53,Manioka,,,,,
01.13.54,Taro,,,,,
01.13.59,"Jestivo korjenasto i gomoljasto povrće s visokom koncentracijom škroba ili inulina, d. n.",,,,,
01.13.6,"Sjemenje povrća, osim sjemenja šećerne repe",,,,,
01.13.60,"Sjemenje povrća, osim sjemenja šećerne repe",,,,,
01.13.7,Šećerna repa i sjemenje šećerne repe,,,,,
01.13.71,Šećerna repa,,,,,
01.13.72,Sjemenje šećerne repe,,,,,
01.13.8,Gljive i tartufi,,,,,
01.13.80,Gljive i tartufi,,,,,
01.13.9,"Povrće, svježe, d. n.",,,,,
01.13.90,"Povrće, svježe, d. n.",,,,,
01.14,Šećerna trska,,,,,
01.14.0,Šećerna trska,,,,,
01.14.00,Šećerna trska,,,,,
01.15,Neprerađeni duhan,,,,,
01.15.0,Neprerađeni duhan,,,,,
01.15.00,Neprerađeni duhan,,,,,
01.16,Predivo bilje,,,,,
01.16.0,Predivo bilje,,,,,
01.16.01,"Pamuk, očišćen od sjemena ili neočišćen",,,,,
01.16.02,"Juta, kenaf i ostala tekstilna likova vlakna, sirova ili močena",,,,,
01.16.09,"Predivo bilje, d. n.",,,,,
01.19,Ostali jednogodišnji usjevi,,,,,
01.19.1,Krmni usjevi,,,,,
01.19.10,Krmni usjevi,,,,,
01.19.2,Rezano cvijeće i cvjetni pupovi; sjemenje cvijeća,,,,,
01.19.21,Rezano cvijeće i cvjetni pupovi,,,,,
01.19.22,Sjemenje cvijeća,,,,,
01.19.3,"Sjemenje repe, sjemenje krmnog bilja; ostali sirovi biljni materijali",,,,,
01.19.31,Sjemenje repe i sjemenje krmnog bilja,,,,,
01.19.32,Ostali sirovi biljni materijali,,,,,
01.2,Višegodišnji usjevi,,,,,
01.21,Svježe grožđe,,,,,
01.21.0,Svježe grožđe,,,,,
01.21.01,Svježe stolno grožđe,,,,,
01.21.02,"Ostalo grožđe, svježe",,,,,
01.22,Svježe tropsko i suptropsko voće,,,,,
01.22.0,Svježe tropsko i suptropsko voće,,,,,
01.22.01,Svježi avokado,,,,,
01.22.02,"Svježe banane, svježe banane plantana i slično",,,,,
01.22.03,Svježe datulje,,,,,
01.22.04,Svježe smokve,,,,,
01.22.09,"Svježe tropsko i suptropsko voće, d. n.",,,,,
01.23,Svježi agrumi,,,,,
01.23.0,Svježi agrumi,,,,,
01.23.01,Svježi pomelo i svježi grejp,,,,,
01.23.02,Svježi limuni i svježe limete,,,,,
01.23.03,Svježe naranče,,,,,
01.23.04,"Svježe tangerine, svježe mandarine, svježe klementine",,,,,
01.23.09,"Svježi agrumi, d. n.",,,,,
01.24,Svježe jezgričasto i svježe koštuničavo voće,,,,,
01.24.1,Svježe jabuke,,,,,
01.24.10,Svježe jabuke,,,,,
01.24.2,Ostalo svježe jezgričasto i koštuničavo voće,,,,,
01.24.21,Svježe kruške,,,,,
01.24.22,Svježe dunje,,,,,
01.24.23,Svježe marelice,,,,,
01.24.24,Svježe trešnje,,,,,
01.24.25,Svježe breskve,,,,,
01.24.26,Svježe nektarine,,,,,
01.24.27,Svježe šljive,,,,,
01.24.28,Svježe divlje šljive,,,,,
01.24.29,"Ostalo svježe jezgričasto i koštuničavo voće, d. n.",,,,,
01.25,"Bobičasto, orašasto i ostalo voće",,,,,
01.25.1,Bobičasto i drugo voće roda Vaccinium,,,,,
01.25.11,Kivi,,,,,
01.25.12,Maline,,,,,
01.25.13,Jagode,,,,,
01.25.19,"Bobičasto i drugo voće roda Vaccinium, d. n.",,,,,
01.25.2,Sjemenje voća,,,,,
01.25.20,Sjemenje voća,,,,,
01.25.3,Orašasti plodovi,,,,,
01.25.31,Bademi,,,,,
01.25.32,Kesteni,,,,,
01.25.33,Lješnjaci,,,,,
01.25.34,Pistacije,,,,,
01.25.35,Orasi,,,,,
01.25.39,"Orašasti plodovi, d. n.",,,,,
01.25.9,"Ostalo bobičasto i orašasto voće i ostalo voće, d. n.",,,,,
01.25.90,"Ostalo bobičasto i orašasto voće i ostalo voće, d. n.",,,,,
01.26,Uljani plodovi,,,,,
01.26.1,Masline,,,,,
01.26.11,Stolne masline,,,,,
01.26.12,Masline za proizvodnju maslinova ulja,,,,,
01.26.2,Kokosovi orasi,,,,,
01.26.20,Kokosovi orasi,,,,,
01.26.3,Ostali uljani plodovi,,,,,
01.26.30,Ostali uljani plodovi,,,,,
01.27,Usjevi za pripremanje napitaka,,,,,
01.27.0,Usjevi za pripremanje napitaka,,,,,
01.27.01,"Kava u zrnu, nepržena",,,,,
01.27.02,"Čaj, u listovima",,,,,
01.27.03,"Mate-čaj, u listovima",,,,,
01.27.04,Kakao u zrnu,,,,,
01.27.09,"Usjevi za pripremanje napitaka, d. n.",,,,,
01.28,"Začinsko, aromatsko, ljekovito bilje i bilje za uporabu u farmaciji",,,,,
01.28.1,"Začini, neprerađeni",,,,,
01.28.11,"Papar (vrsta Piper), sirovi",,,,,
01.28.12,"Muškatni oraščić, macis i kardamon, sirovi",,,,,
01.28.13,"Anis, badijan, korijandar, kumin, kim, komorač i bobice kleke, sirovi",,,,,
01.28.14,"Cimet, sirovi",,,,,
01.28.15,"Klinčići (cijele peteljke), sirovi",,,,,
01.28.16,"Đumbir, suhi, sirovi",,,,,
01.28.17,"Vanilija, sirova",,,,,
01.28.19,"Začini, neprerađeni, d. n.",,,,,
01.28.2,Hmelj,,,,,
01.28.20,Hmelj,,,,,
01.28.3,"Bilje prvenstveno za uporabu u parfumeriji i farmaciji, za insekticide i fungicide i u slične svrhe",,,,,
01.28.30,"Bilje prvenstveno za uporabu u parfumeriji i farmaciji, za insekticide i fungicide i u slične svrhe",,,,,
01.29,Ostali višegodišnji usjevi,,,,,
01.29.1,Prirodni kaučuk,,,,,
01.29.10,Prirodni kaučuk,,,,,
01.29.2,"Božićna drvca, rezana",,,,,
01.29.20,"Božićna drvca, rezana",,,,,
01.29.3,Biljni materijali prvenstveno za uporabu u pletarstvu ili za punjenje i postavljanje ili u bojanju i štavljenju,,,,,
01.29.30,Biljni materijali prvenstveno za uporabu u pletarstvu ili za punjenje i postavljanje ili u bojanju i štavljenju,,,,,
01.3,"Sadni materijal: živo bilje, lukovice, gomolji i korijenje, reznice i cijepovi; micelij gljiva",,,,,
01.30,"Sadni materijal: živo bilje, lukovice, gomolji i korijenje, reznice i cijepovi; micelij gljiva",,,,,
01.30.0,"Sadni materijal: živo bilje, lukovice, gomolji i korijenje, reznice i cijepovi; micelij gljiva",,,,,
01.30.00,"Sadni materijal: živo bilje, lukovice, gomolji i korijenje, reznice i cijepovi; micelij gljiva",,,,,
01.4,Žive životinje i proizvodi životinjskog podrijetla,,,,,
01.41,"Mliječna goveda, živa; sirovo kravlje mlijeko",,,,,
01.41.1,"Mliječna goveda, živa",,,,,
01.41.10,"Mliječna goveda, živa",,,,,
01.41.2,Sirovo kravlje mlijeko,,,,,
